Név|Konzol|Műfaj|Kiadó|Fejlesztő|Kritikusi pontszám|Összes eladás|Kiadás éve
Need for Speed: Most Wanted|PS2|Versenyzős|Electronic Arts|EA Canada|8.6|4.37|2005
Michael Jackson: The Experience|Wii|Egyéb|Ubisoft|Ubisoft Montpellier|5.6|4.37|2010
Tom Clancy's Rainbow Six: Siege|PS4|Lövöldözős|Ubisoft|Ubisoft Montreal|7.3|4.36|2015
Call of Duty: Advanced Warfare|X360|Lövöldözős|Activision|High Moon Studios|9.1|4.34|2014
Watch Dogs|PS4|Akció-kaland|Ubisoft|Ubisoft Montreal|7.3|4.32|2014
Asteroids|2600|Lövöldözős|Atari|Atari|7.3|4.31|1981
Batman: Arkham Asylum|PS3|Akció|Eidos Interactive|Rocksteady Studios|9.0|4.28|2009
Call of Duty: Advanced Warfare|PS3|Lövöldözős|Activision|High Moon Studios|9.1|4.27|2014
Namco Museum|GBA|Egyéb|Namco|Mass Media|7.3|4.24|2001
Assassin's Creed: Revelations|PS3|Akció|Ubisoft|Ubisoft Montreal|8.8|4.23|2011
Assassin's Creed: Revelations|X360|Akció|Ubisoft|Ubisoft Montreal|7.9|4.22|2011
FIFA Soccer 06|PS2|Sport|EA Sports|EA Canada|8.4|4.21|2005
Street Fighter IV|PS3|Harcolós|Capcom|Capcom / Dimps Corporation|9.3|4.19|2009
FIFA Soccer 12|X360|Sport|EA Sports|EA Canada|9.2|4.18|2011
Call of Duty: Ghosts|PS4|Lövöldözős|Activision|Infinity Ward|7.5|4.17|2013
Teenage Mutant Ninja Turtles|NES|Platformer|Ultra Games|Konami|5.9|4.17|1989
Frogger|PS|Akció|Hasbro Interactive|Millenium Interactive|7.3|4.16|1997
FIFA 14|X360|Sport|EA Sports|EA Canada|7.3|4.15|2013
Star Wars Battlefront (2015)|XOne|Lövöldözős|Electronic Arts|EA DICE|6.9|4.15|2015
Madden NFL 2003|PS2|Sport|EA Sports|EA Tiburon|9.4|4.14|2002
Assassin's Creed: Unity|PS4|Akció|Ubisoft|Ubisoft Montreal|7.3|4.14|2014
Destiny 2|PS4|Lövöldözős|Activision|Bungie|7.3|4.14|2017
FIFA 07 Soccer|PS2|Sport|EA Sports|Team Fusion|8.4|4.11|2006
Batman: Arkham Knight|PS4|Akció|Warner Bros. Interactive|Rocksteady Studios|8.1|4.11|2015
The Sims 4|PC|Szimuláció|Electronic Arts|Maxis|7.0|4.1|2014
Fallout: New Vegas|X360|Szerepjáték|Bethesda Softworks|Obsidian Entertainment|8.2|4.08|2010
Carnival Games|Wii|Egyéb|Global Star Software|Cat Daddy Games|4.2|4.06|2007
Far Cry 4|PS4|Lövöldözős|Ubisoft|Ubisoft Montreal|8.4|4.06|2014
Assassin's Creed Origins|PS4|Akció|Ubisoft|Ubisoft Montreal|7.3|4.06|2017
World Soccer Winning Eleven 9|PS2|Sport|Konami|Konami Computer Entertainment Tokyo|8.9|4.06|2006
Forza Motorsport 2|X360|Versenyzős|Microsoft Game Studios|Turn 10 Studios|9.1|4.05|2007
Namco Museum Vol.3|PS|Egyéb|Namco|Namco|7.3|4.05|1997
Tekken Tag Tournament|PS2|Harcolós|Namco|Namco|8.7|4.05|2000
Fallout 3|PS3|Szerepjáték|Bethesda Softworks|Bethesda Game Studios|8.8|4.0|2008
The Elder Scrolls V: Skyrim|PC|Szerepjáték|Bethesda Softworks|Bethesda Game Studios|9.2|3.99|2011
NBA 2K16|PS4|Sport|2K Sports|Visual Concepts|8.7|3.98|2015
Namco Museum: 50th Anniversary|PS2|Egyéb|Namco|Digital Eclipse|7.3|3.98|2005
Far Cry 5|PS4|Akció|Ubisoft|Ubisoft|7.9|3.95|2018
Battlefield 4|PS4|Lövöldözős|Electronic Arts|EA DICE|8.3|3.94|2013
Assassin's Creed IV: Black Flag|PS3|Akció-kaland|Ubisoft|Ubisoft Montreal|8.7|3.94|2013
Tony Hawk's Underground|PS2|Sport|Activision|Neversoft Entertainment|8.7|3.9|2003
Just Dance 2014|Wii|Zene|Ubisoft|Ubisoft Paris|7.4|3.89|2013
Sports Champions|PS3|Sport|Sony Computer Entertainment|SCE San Diego Studio|7.6|3.88|2010
World Soccer Winning Eleven 8 International|PS2|Sport|Konami|Konami Computer Entertainment Tokyo|9.3|3.85|2005
Namco Museum Vol.1|PS|Egyéb|Namco|Namco|7.3|3.84|1996
LEGO Indiana Jones: The Original Adventures|X360|Kaland|LucasArts|Traveller's Tales|7.5|3.76|2008
The Sims: Unleashed|PC|Szimuláció|Electronic Arts|Maxis|7.3|3.76|2002
Ratchet & Clank: Size Matters|PSP|Platformer|Sony Computer Entertainment|High Impact Games|8.5|3.75|2007
FIFA 17|XOne|Sport|Electronic Arts|EA Canada|8.8|3.71|2016
FIFA Soccer 2005|PS2|Sport|EA Sports|EA Canada|8.4|3.7|2004
Tony Hawk's Pro Skater 4|PS2|Sport|Activision|Neversoft Entertainment|9.6|3.67|2002
MySims|DS|Szimuláció|Electronic Arts|EA Redwood Shores|6.7|3.66|2007
Midnight Club 3: DUB Edition|PSP|Versenyzős|Rockstar Games|Rockstar Leeds|7.2|3.66|2005
SOCOM: U.S. Navy SEALs|PS2|Lövöldözős|Sony Computer Entertainment|Zipper Interactive|8.0|3.65|2002
Battlefield 4|PS3|Lövöldözős|Electronic Arts|EA DICE|8.7|3.64|2013
Jak and Daxter: The Precursor Legacy|PS2|Platformer|Sony Computer Entertainment|Naughty Dog|9.0|3.64|2001
Pro Evolution Soccer 2008|PS2|Sport|Konami|Konami|8.2|3.63|2008
FIFA Soccer 10|PS3|Sport|EA Sports|EA Canada|9.0|3.63|2009
Guitar Hero: World Tour|Wii|Egyéb|Activision|Vicarious Visions|8.4|3.62|2008
The Simpsons: Road Rage|PS2|Versenyzős|Electronic Arts|Radical Entertainment|6.1|3.61|2001
Star Wars Battlefront|PS2|Lövöldözős|LucasArts|Pandemic Studios|8.1|3.61|2004
Doom II|PC|Lövöldözős|GT Interactive|id Software|9.3|3.61|1994
Assassin's Creed Syndicate|PS4|Akció|Ubisoft|Ubisoft Quebec|8.6|3.6|2015
Star Wars Battlefront II|PS2|Lövöldözős|LucasArts|Pandemic Studios|8.5|3.59|2005
Assassin's Creed: Unity|XOne|Akció|Ubisoft|Ubisoft Montreal|7.3|3.58|2014
WWF SmackDown!|PS|Harcolós|THQ|Yuke's|7.3|3.58|2000
Cooking Mama 2: Dinner With Friends|DS|Szimuláció|Majesco|Office Create|6.9|3.58|2007
The Getaway|PS2|Akció|Sony Computer Entertainment|Team Soho|7.7|3.54|2003
Tomb Raider III: Adventures of Lara Croft|PS|Kaland|Eidos Interactive|Core Design Ltd.|8.2|3.54|1998
Grand Theft Auto: Liberty City Stories|PS2|Akció|Rockstar Games|Rockstar Leeds|8.3|3.54|2006
Battlefield 4|X360|Lövöldözős|Electronic Arts|EA DICE|8.7|3.54|2013
Batman: Arkham Asylum|X360|Akció|Eidos Interactive|Rocksteady Studios|9.1|3.54|2009
Resident Evil 5|X360|Akció|Capcom|Capcom|8.6|3.53|2009
Assassin's Creed: Brotherhood|X360|Akció|Ubisoft|Ubisoft Montreal|9.1|3.53|2010
LEGO Star Wars: The Video Game|PS2|Akció|Eidos Interactive|Traveller's Tales|7.9|3.53|2005
James Bond 007: Agent Under Fire|PS2|Lövöldözős|Electronic Arts|EA Redwood Shores|7.3|3.53|2001
Rugrats in Paris: The Movie|PS|Akció|THQ|Avalanche Software|7.3|3.52|2000
FIFA Soccer 11|X360|Sport|EA Sports|EA Canada|8.7|3.52|2010
NBA 2K17|PS4|Sport|2K Sports|Visual Concepts|9.0|3.52|2016
Mortal Kombat X|PS4|Harcolós|Warner Bros. Interactive Entertainment|NetherRealm Studios|7.3|3.49|2015
FIFA Soccer 2004|PS2|Sport|EA Sports|EA Canada|8.0|3.49|2003
Borderlands|X360|Lövöldözős|2K Games|Gearbox Software|8.3|3.48|2009
Battlefield: Bad Company 2|X360|Lövöldözős|Electronic Arts|EA Digital Illusions CE|9.0|3.48|2010
Mario & Sonic at the Olympic Winter Games|DS|Sport|Sega|Sega|7.6|3.47|2009
Guitar Hero: On Tour|DS|Egyéb|Activision|Vicarious Visions|7.1|3.46|2008
Tekken 4|PS2|Harcolós|Namco|Namco|7.9|3.44|2002
LEGO Batman: The Videogame|X360|Kaland|Warner Bros. Interactive|Traveller's Tales|7.5|3.44|2008
Halo: The Master Chief Collection|XOne|Lövöldözős|Microsoft Studios|343 Industries|8.8|3.44|2014
LittleBigPlanet 2|PS3|Platformer|Sony Computer Entertainment|Media Molecule|9.1|3.43|2011
FIFA 14|PS4|Sport|EA Sports|EA Canada|7.3|3.43|2013
Grand Theft Auto 2|PS|Akció|Rockstar Games|DMA Design|6.9|3.42|1999
Destiny|XOne|Lövöldözős|Activision|Bungie|8.3|3.41|2014
Spider-Man 2|PS2|Akció|Activision|Treyarch|7.9|3.41|2004
FIFA Soccer 2003|PS2|Sport|EA Sports|EA Canada|7.3|3.4|2002
Crash Bash|PS|Egyéb|Sony Computer Entertainment|Eurocom Entertainment Software|6.8|3.39|2000
Gears of War 4|XOne|Lövöldözős|Microsoft Studios|The Coalition|7.3|3.38|2016
The Elder Scrolls V: Skyrim Special Edition|PS4|Szerepjáték|Bethesda Softworks|Bethesda Softworks|8.3|3.36|2016
Watch Dogs 2|PS4|Akció|Ubisoft|Ubisoft|7.3|3.36|2016
WWF War Zone|PS|Harcolós|Acclaim Entertainment|Iguana Entertainment|7.3|3.36|1998
Assassin's Creed IV: Black Flag|X360|Akció-kaland|Ubisoft|Ubisoft Montreal|8.5|3.34|2013
NBA 2K18|PS4|Sport|2K Sports|Visual Concepts|8.1|3.34|2017
James Bond 007: Nightfire|PS2|Lövöldözős|Electronic Arts|Eurocom Entertainment Software|7.3|3.33|2002
Star Wars Episode III: Revenge of the Sith|PS2|Akció|LucasArts|The Collective|7.3|3.32|2005
Max Payne|PS2|Lövöldözős|Rockstar Games|Remedy Entertainment|8.1|3.31|2001
Madden NFL 16|PS4|Sport|EA Sports|EA Tiburon|8.2|3.3|2015
The Lord of the Rings: The Return of the King|PS2|Akció|Electronic Arts|Hypnos Entertainment, Inc.|8.4|3.28|2003
Madden NFL 17|PS4|Sport|EA Sports|EA Tiburon|8.5|3.28|2016
Gran Turismo (PSP)|PSP|Versenyzős|Sony Computer Entertainment|Polyphony Digital|7.3|3.27|2009
Far Cry 3|PS3|Lövöldözős|Ubisoft|Ubisoft Montreal|7.3|3.27|2012
True Crime: Streets of LA|PS2|Akció|Activision|Luxoflux|7.3|3.27|2003
FIFA 16|XOne|Sport|EA Sports|EA Canada|8.5|3.25|2015
L.A. Noire|PS3|Kaland|Rockstar Games|Team Bondi|9.1|3.21|2011
007: Tomorrow Never Dies|PS|Lövöldözős|Electronic Arts|Black Ops Entertainment|6.2|3.21|1999
WWF SmackDown! 2: Know Your Role|PS|Harcolós|THQ|Yuke's|8.7|3.2|2000
Assassin's Creed IV: Black Flag|PS4|Akció-kaland|Ubisoft|Ubisoft Montreal|8.3|3.19|2013
Enter the Matrix|PS2|Akció|Atari|Shiny Entertainment|7.3|3.18|2003
Assassin's Creed Odyssey|PS4|Akció-kaland|Ubisoft|Ubisoft Quebec|9.5|3.18|2018
Fallout: New Vegas|PS3|Szerepjáték|Bethesda Softworks|Obsidian Entertainment|8.2|3.17|2010
FIFA Soccer 08|PS2|Sport|EA Sports|EA Canada|7.3|3.14|2007
Club Penguin: Elite Penguin Force|DS|Kaland|Disney Interactive Studios|1st Playable Productions|7.0|3.14|2008
FIFA 18|XOne|Sport|EA Sports|EA Vancouver|8.0|3.14|2017
Spider-Man|PS|Akció|Activision|Neversoft Entertainment|7.3|3.13|2000
The Elder Scrolls IV: Oblivion|PS3|Szerepjáték|Bethesda Softworks|4J Studios|9.3|3.12|2007
Resident Evil 6|PS3|Akció|Capcom|Capcom|7.3|3.12|2012
Need for Speed III: Hot Pursuit|PS|Versenyzős|Electronic Arts|EA Canada|7.3|3.12|1998
Tom Clancy's Ghost Recon Wildlands|PS4|Lövöldözős|Ubisoft|Ubisoft Paris|7.0|3.12|2017
Titanfall|XOne|Lövöldözős|Electronic Arts|Respawn Entertainment|7.3|3.11|2014
NBA 2K13|X360|Sport|2K Sports|Visual Concepts|8.6|3.11|2012
Mass Effect 2|X360|Szerepjáték|Electronic Arts|BioWare Edmonton|9.5|3.1|2010
LEGO Batman: The Videogame|Wii|Kaland|Warner Bros. Interactive|Traveller's Tales|7.3|3.08|2008
Madden NFL 2002|PS2|Sport|EA Sports|EA Sports|7.3|3.08|2001
Saints Row 2|X360|Akció|THQ|Volition Inc.|7.9|3.07|2008
Call of Duty: Ghosts|XOne|Lövöldözős|Activision|Infinity Ward|7.5|3.07|2013
The Sims: Vacation|PC|Szimuláció|Electronic Arts|Maxis|7.3|3.07|2002
Borderlands 2|X360|Lövöldözős|2K Games|Gearbox Software|7.3|3.06|2013
LEGO Batman: The Videogame|DS|Kaland|Warner Bros. Interactive|Traveller's Tales|7.8|3.06|2008
Kung Fu Panda|X360|Platformer|Activision|Luxoflux|7.5|3.05|2008
Metal Gear Solid V: The Phantom Pain|PS4|Akció|Konami Digital Entertainment|Kojima Productions|7.3|3.04|2015
Mass Effect 3|X360|Szerepjáték|Electronic Arts|BioWare|9.5|3.04|2012
Rayman|PS|Platformer|Ubisoft|Ubisoft Montpellier|7.0|3.03|1995
Tom Clancy's Splinter Cell|XB|Akció|Ubisoft|Ubisoft|9.3|3.02|2002
WWE SmackDown! vs. Raw 2006|PS2|Harcolós|THQ|Yuke's|8.4|3.0|2005
The Sims: Livin Large|PC|Egyéb|Electronic Arts|Maxis|7.3|2.99|2000
World Soccer Winning Eleven 6 International|PS2|Sport|Konami|Konami Computer Entertainment Tokyo|7.3|2.99|2003
Far Cry 3|X360|Lövöldözős|Ubisoft|Ubisoft Montreal|7.3|2.98|2012
Hitman 2: Silent Assassin|PS2|Akció|Eidos Interactive|IO Interactive|7.3|2.96|2002
Battlefield: Bad Company 2|PS3|Lövöldözős|Electronic Arts|EA Digital Illusions CE|8.9|2.96|2010
Street Fighter IV|X360|Harcolós|Capcom|Capcom / Dimps Corporation|9.3|2.95|2009
WWE SmackDown! vs. RAW 2006|PS2|Harcolós|THQ|Yuke's|7.3|2.94|2005
Pac-Man Collection|GBA|Logikai|Namco|Mass Media|7.3|2.94|2001
Madden NFL 13|X360|Sport|EA Sports|EA Tiburon|8.0|2.93|2012
Doom (2016)|PS4|Lövöldözős|Bethesda Softworks|id Software|7.3|2.92|2016
FIFA 15|X360|Sport|EA Sports|EA Canada|6.9|2.91|2014
Mass Effect|X360|Szerepjáték|Microsoft Game Studios|BioWare Edmonton|9.2|2.91|2007
Mortal Kombat (2011)|PS3|Harcolós|Warner Bros. Interactive Entertainment|NetherRealm Studios|8.5|2.9|2011
Call of Duty: Finest Hour|PS2|Lövöldözős|Activision|Spark Unlimited|7.3|2.89|2004
Cooking Mama: Cook Off|Wii|Szimuláció|Majesco|Office Create|5.9|2.89|2007
Sega Superstars Tennis|X360|Sport|Sega|Sumo Digital|6.9|2.89|2008
Hot Shots Golf 3|PS2|Sport|Sony Computer Entertainment|Clap Hanz|7.3|2.89|2002
Imagine: Babyz|DS|Szimuláció|Ubisoft|Visual Impact|3.5|2.87|2007
Colin McRae Rally|PS|Versenyzős|Sony Computer Entertainment|Codemasters|7.9|2.87|2000
Mafia III|PS4|Akció-kaland|2K Games|Hangar 13|6.9|2.87|2016
The Elder Scrolls III: Morrowind|XB|Szerepjáték|Bethesda Softworks|Bethesda Softworks|8.2|2.86|2002
Assassin's Creed: Brotherhood|PS3|Akció|Ubisoft|Ubisoft Montreal|9.1|2.85|2010
Madden NFL 10|X360|Sport|EA Sports|EA Tiburon|8.6|2.83|2009
BioShock|X360|Lövöldözős|2K Games|2K Australia / 2K Boston|9.6|2.83|2007
WWE SmackDown! vs. Raw|PS2|Harcolós|THQ|Yuke's|7.3|2.83|2004
Zumba Fitness 2|Wii|Sport|Majesco|Pipeworks Software, Inc.|7.3|2.83|2011
Diablo III: Ultimate Evil Edition|PS4|Szerepjáték|Blizzard Entertainment|Blizzard Entertainment|7.3|2.82|2014
Finding Nemo|GBA|Platformer|THQ|Vicarious Visions|7.0|2.82|2003
Gran Turismo (PSP)|PSN|Versenyzős|Sony Computer Entertainment|Polyphony Digital|7.8|2.82|2009
