Ország,Söradagok,Égetett szesz adagok,Boradagok,Összes tiszta alkohol (liter)
Malajzia,13,4,0,0.3
Maldív-szigetek,0,0,0,0.0
Mali,5,1,1,0.6
Málta,149,100,120,6.6
Marshall-szigetek,0,0,0,0.0
Mauritánia,0,0,0,0.0
Mauritius,98,31,18,2.6
Mexikó,238,68,5,5.5
Mikronézia,62,50,18,2.3
Monaco,0,0,0,0.0
Mongólia,77,189,8,4.9
Montenegró,31,114,128,4.9
Marokkó,12,6,10,0.5
Mozambik,47,18,5,1.3
Mianmar,5,1,0,0.1
Namíbia,376,3,1,6.8
Nauru,49,0,8,1.0
Nepál,5,6,0,0.2
Hollandia,251,88,190,9.4
Új-Zéland,203,79,175,9.3
Nicaragua,78,118,1,3.5
Niger,3,2,1,0.1
Nigéria,42,5,2,9.1
Niue,188,200,7,7.0
Norvégia,169,71,129,6.7
Omán,22,16,1,0.7
Pakisztán,0,0,0,0.0
Palau,306,63,23,6.9
Panama,285,104,18,7.2
Pápua Új-Guinea,44,39,1,1.5
Paraguay,213,117,74,7.3
Peru,163,160,21,6.1
Fülöp-szigetek,71,186,1,4.6
Lengyelország,343,215,56,10.9
Portugália,194,67,339,11.0
Katar,1,42,7,0.9
Dél-Korea,140,16,9,9.8
Moldova,109,226,18,6.3
Románia,297,122,167,10.4
Oroszország,247,326,73,11.5
Ruanda,43,2,0,6.8
Saint Kitts és Nevis,194,205,32,7.7
Saint Lucia,171,315,71,10.1
Saint Vincent és a Grenadine-szigetek,120,221,11,6.3
Szamoa,105,18,24,2.6
San Marino,0,0,0,0.0
São Tomé és Príncipe,56,38,140,4.2
Szaúd-Arábia,0,5,0,0.1
Szenegál,9,1,7,0.3
Szerbia,283,131,127,9.6
Seychelle-szigetek,157,25,51,4.1
Sierra Leone,25,3,2,6.7
Szingapúr,60,12,11,1.5
Szlovákia,196,293,116,11.4
Szlovénia,270,51,276,10.6
Salamon-szigetek,56,11,1,1.2
Szomália,0,0,0,0.0
Dél-afrikai Köztársaság,225,76,81,8.2
Spanyolország,284,157,112,10.0
Srí Lanka,16,104,0,2.2
Szudán,8,13,0,1.7
Suriname,128,178,7,5.6
Szváziföld,90,2,2,4.7
Svédország,152,60,186,7.2
Svájc,185,100,280,10.2
Szíria,5,35,16,1.0
Tádzsikisztán,2,15,0,0.3
Thaiföld,99,258,1,6.4
Macedónia,106,27,86,3.9
Kelet-Timor,1,1,4,0.1
Togo,36,2,19,1.3
Tonga,36,21,5,1.1
Trinidad és Tobago,197,156,7,6.4
Tunézia,51,3,20,1.3
Törökország,51,22,7,1.4
Türkmenisztán,19,71,32,2.2
Tuvalu,6,41,9,1.0
Uganda,45,9,0,8.3
Ukrajna,206,237,45,8.9
Egyesült Arab Emírségek,16,135,5,2.8
Egyesült Királyság,219,126,195,10.4
Tanzánia,36,6,1,5.7
USA,249,158,84,8.7
Uruguay,115,35,220,6.6
Üzbegisztán,25,101,8,2.4
Vanuatu,21,18,11,0.9
Venezuela,333,100,3,7.7
Vietnám,111,2,1,2.0
Jemen,6,0,0,0.1
Zambia,32,19,4,2.5
Zimbabwe,64,18,4,4.7
